sample_index,filepath,source_word,true_label,condition,snr_db,transcript_raw,transcript_normalized,transcript_non_empty,asr_latency_sec,total_latency_sec,peak_normalized,peak_before_normalization,asr_failed,error
30,dataset/raw/movement/forward/40738a2d_nohash_2.wav,forward,movement,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.637851,0.638179,1,1.433871,0,
31,dataset/raw/unknown/house/6c88cf25_nohash_0.wav,house,unknown,snr_m10db,-10.0,Yeah!,yeah,1,0.056835,0.057238,0,0.726239,0,
32,dataset/raw/emergency/yes/890cc926_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.061740,0.062262,1,1.163207,0,
33,dataset/raw/movement/off/5fadb538_nohash_2.wav,off,movement,snr_m10db,-10.0,,,0,0.059450,0.059687,0,0.735171,0,
34,dataset/raw/movement/down/5f9cd2eb_nohash_4.wav,down,movement,snr_m10db,-10.0,Go!,go,1,0.054446,0.054717,1,1.632490,0,
35,dataset/raw/unknown/four/9a7c1f83_nohash_0.wav,four,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.602383,0.602671,1,2.145707,0,
36,dataset/raw/unknown/happy/042ea76c_nohash_0.wav,happy,unknown,snr_m10db,-10.0,Thank you.,thank you,1,0.060602,0.060878,0,0.564362,0,
37,dataset/raw/unknown/tree/8ed25ef8_nohash_0.wav,tree,unknown,snr_m10db,-10.0,Great!,great,1,0.059363,0.059612,0,0.491426,0,
38,dataset/raw/movement/go/9637f43f_nohash_1.wav,go,movement,snr_m10db,-10.0,,,0,0.059875,0.060151,0,0.704781,0,
39,dataset/raw/unknown/one/0a196374_nohash_1.wav,one,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.611139,0.611421,1,1.210125,0,
40,dataset/raw/movement/right/050170cb_nohash_0.wav,right,movement,snr_m10db,-10.0,,,0,0.063809,0.064239,0,0.692674,0,
41,dataset/raw/emergency/no/53458368_nohash_0.wav,no,emergency,snr_m10db,-10.0,,,0,0.060360,0.060670,0,0.211913,0,
42,dataset/raw/emergency/stop/c6a23ff5_nohash_0.wav,stop,emergency,snr_m10db,-10.0,,,0,0.059711,0.060164,0,0.213935,0,
43,dataset/raw/movement/left/2fee065a_nohash_3.wav,left,movement,snr_m10db,-10.0,,,0,0.059712,0.059991,1,3.338029,0,
44,dataset/raw/movement/right/54aecbd5_nohash_0.wav,right,movement,snr_m10db,-10.0,,,0,0.053760,0.054066,1,1.067849,0,
45,dataset/raw/unknown/house/022cd682_nohash_0.wav,house,unknown,snr_m10db,-10.0,,,0,0.056604,0.056883,0,0.337901,0,
46,dataset/raw/unknown/three/7b2e879e_nohash_0.wav,three,unknown,snr_m10db,-10.0,,,0,0.060702,0.060993,0,0.409664,0,
47,dataset/raw/emergency/stop_words/End/en_US-norman-medium.wav,stop_words,emergency,snr_m10db,-10.0,,,0,0.055645,0.056221,1,1.282458,0,
48,dataset/raw/unknown/nine/ede2f4ee_nohash_0.wav,nine,unknown,snr_m10db,-10.0,,,0,0.055711,0.056083,1,2.345403,0,
49,dataset/raw/emergency/no/5f9cd2eb_nohash_5.wav,no,emergency,snr_m10db,-10.0,,,0,0.055542,0.056261,1,1.570747,0,
50,dataset/raw/unknown/seven/e4a2cf79_nohash_0.wav,seven,unknown,snr_m10db,-10.0,7,,0,0.053391,0.053694,0,0.710063,0,
51,dataset/raw/unknown/dog/ab5d7179_nohash_0.wav,dog,unknown,snr_m10db,-10.0,,,0,0.056407,0.056831,0,0.628304,0,
52,dataset/raw/emergency/backward/435695e3_nohash_0.wav,backward,emergency,snr_m10db,-10.0,Thank you.,thank you,1,0.059524,0.059861,1,1.887050,0,
53,dataset/raw/movement/down/a1cf7fd8_nohash_4.wav,down,movement,snr_m10db,-10.0,,,0,0.061029,0.061356,0,0.176467,0,
54,dataset/raw/emergency/stop/834f03fe_nohash_0.wav,stop,emergency,snr_m10db,-10.0,Me!,me,1,0.055747,0.056145,1,1.591492,0,
55,dataset/raw/unknown/seven/8a1c449e_nohash_2.wav,seven,unknown,snr_m10db,-10.0,That was it.,that was it,1,0.061570,0.061859,0,0.835994,0,
56,dataset/raw/emergency/yes/28e47b1a_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yes.,yes,1,0.058642,0.059100,1,1.023091,0,
57,dataset/raw/movement/down/5cf1ecce_nohash_2.wav,down,movement,snr_m10db,-10.0,Bye!,bye,1,0.058816,0.059203,1,1.281883,0,
58,dataset/raw/emergency/wow/152491bc_nohash_1.wav,wow,emergency,snr_m10db,-10.0,,,0,0.059072,0.059354,0,0.760906,0,
59,dataset/raw/emergency/no/324210dd_nohash_4.wav,no,emergency,snr_m10db,-10.0,,,0,0.059700,0.059990,1,2.098571,0,
60,dataset/raw/unknown/cat/2c7c33e8_nohash_1.wav,cat,unknown,snr_m10db,-10.0,Okay.,okay,1,0.057748,0.058311,0,0.795798,0,
61,dataset/raw/unknown/marvin/74241b28_nohash_0.wav,marvin,unknown,snr_m10db,-10.0,Happy!,happy,1,0.058410,0.058777,1,1.209477,0,
62,dataset/raw/emergency/stop/e9bc5cc2_nohash_0.wav,stop,emergency,snr_m10db,-10.0,It's cool.,it s cool,1,0.065114,0.065641,1,1.375132,0,
63,dataset/raw/unknown/four/25e95412_nohash_2.wav,four,unknown,snr_m10db,-10.0,,,0,0.063067,0.063519,1,1.336594,0,
64,dataset/raw/movement/left/6846af18_nohash_0.wav,left,movement,snr_m10db,-10.0,Good luck.,good luck,1,0.064043,0.064672,0,0.556790,0,
65,dataset/raw/emergency/yes/d103dd6e_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.063309,0.063683,1,2.278557,0,
66,dataset/raw/emergency/wow/a77fbcfd_nohash_0.wav,wow,emergency,snr_m10db,-10.0,,,0,0.060983,0.061328,0,0.893780,0,
67,dataset/raw/emergency/wow/095847e4_nohash_0.wav,wow,emergency,snr_m10db,-10.0,Oh,oh,1,0.060603,0.061229,0,0.386905,0,
68,dataset/raw/unknown/dog/19b05529_nohash_0.wav,dog,unknown,snr_m10db,-10.0,,,0,0.065100,0.065495,1,5.251168,0,
69,dataset/raw/unknown/two/b0f5b16d_nohash_1.wav,two,unknown,snr_m10db,-10.0,,,0,0.070264,0.070670,0,0.866100,0,
70,dataset/raw/movement/follow/87070229_nohash_3.wav,follow,movement,snr_m10db,-10.0,Come on!,come on,1,0.069483,0.069955,1,1.429830,0,
71,dataset/raw/movement/on/c0fb6812_nohash_0.wav,on,movement,snr_m10db,-10.0,,,0,0.068219,0.068621,0,0.167538,0,
72,dataset/raw/unknown/two/4fce7686_nohash_1.wav,two,unknown,snr_m10db,-10.0,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,0.672711,0.673177,0,0.801413,0,
73,dataset/raw/movement/on/f2a90886_nohash_0.wav,on,movement,snr_m10db,-10.0,,,0,0.064245,0.064796,0,0.143144,0,
74,dataset/raw/movement/forward/8fe67225_nohash_3.wav,forward,movement,snr_m10db,-10.0,,,0,0.068999,0.069316,1,1.738914,0,
75,dataset/raw/unknown/seven/3e2ba5f7_nohash_0.wav,seven,unknown,snr_m10db,-10.0,,,0,0.072765,0.073172,1,2.323216,0,
76,dataset/raw/emergency/no/9ff2d2f4_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.065366,0.065941,0,0.256703,0,
77,dataset/raw/emergency/yes/cb62dbf1_nohash_3.wav,yes,emergency,snr_m10db,-10.0,Yeah,yeah,1,0.059108,0.059768,0,0.928874,0,
78,dataset/raw/movement/right/91ffb786_nohash_2.wav,right,movement,snr_m10db,-10.0,,,0,0.058537,0.059399,0,0.708181,0,
79,dataset/raw/emergency/stop_words/Stop/en_GB-cori-high.wav,stop_words,emergency,snr_m10db,-10.0,Stop!,stop,1,0.060591,0.061001,1,2.007964,0,
80,dataset/raw/movement/on/8f0d3c27_nohash_0.wav,on,movement,snr_m10db,-10.0,One.,one,1,0.062608,0.062878,1,2.852050,0,
81,dataset/raw/emergency/yes/56eb74ae_nohash_3.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.060484,0.060992,1,1.021323,0,
82,dataset/raw/unknown/six/2fee065a_nohash_1.wav,six,unknown,snr_m10db,-10.0,Cheers!,cheers,1,0.062640,0.063133,1,2.958340,0,
83,dataset/raw/movement/up/3bfd30e6_nohash_3.wav,up,movement,snr_m10db,-10.0,,,0,0.061661,0.062332,0,0.346566,0,
84,dataset/raw/movement/go/d91a159e_nohash_0.wav,go,movement,snr_m10db,-10.0,,,0,0.061191,0.061602,0,0.213540,0,
85,dataset/raw/unknown/five/b414c653_nohash_4.wav,five,unknown,snr_m10db,-10.0,Bye!,bye,1,0.063365,0.063984,0,0.887989,0,
86,dataset/raw/movement/right/692a88e6_nohash_2.wav,right,movement,snr_m10db,-10.0,Alright!,alright,1,0.064079,0.064740,1,1.501080,0,
87,dataset/raw/movement/left/7ea032f3_nohash_4.wav,left,movement,snr_m10db,-10.0,What?,what,1,0.063052,0.063693,1,1.272003,0,
