language,dataset_name,sample_id,sentence_id,source_text_for_gloss,english_gloss,gloss_source,gloss_confidence,strict_eligible,notes
Quechua,quechua,audios/10025.wav,A180,¡Oye bruto! Esa no es la mano izquierda,Hey brute! That's not the left hand,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10026.wav,A072,La gallina cabezona ha puesto huevo en la chacra,The big-headed hen has laid eggs in the field,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10027.wav,H051,La flor está creciendo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10028.wav,S103,La oficina abre a las 8 de la mañana,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10029.wav,A014,Amargo,Bitter,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10030.wav,S008,Oreja,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10031.wav,B132,La base de la olla se había rajado,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10032.wav,S006,Hoyo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10033.wav,H218,Algunas personas creen que sentirse bien consigo mismas es la mayor recompensa posible.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10034.wav,H057,El conjunto musical tocará mañana en el pueblo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10035.wav,H043,Todos se ayudaban trabajando en Ayni,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10036.wav,B031,Adolorecer,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10037.wav,S120,Hablé con tu papá,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10038.wav,A119,"Hoy no hay atención, es feriado.","There is no attention today, it is a holiday.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10039.wav,S108,Prefiero hablar solamente en quechua,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10040.wav,H187,Para el chaque hay que machucar el chuño levemente,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10041.wav,A020,Fiesta,Party,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10042.wav,A075,Alberto encontró un zorro muerto,Alberto found a dead fox,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10043.wav,H091,Es información de segunda mano,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10044.wav,S095,Jugamos en el nevado,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10045.wav,A023,Problemas,Issues,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10046.wav,B185,"Por favor, llévale este escrito a tu hermano mayor",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10047.wav,S105,Tendrá problemas para otros trámites,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10048.wav,S229,La poesía es la sincera voz del alma humana; Una explosión de un cierto tipo de pasión.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10049.wav,B092,"Vacía el agua a la olla grande, luego trae más agua",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10050.wav,B147,La gente adinerada se hace colocar dientes de oro o de plata.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10051.wav,S048,Las nubes que vemos en el cielo son gotitas de agua flotando en el aire.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10052.wav,A206,Las personas ignorantes y de clase baja que intentan imponer su punto de vista sobre los demás merecen desprecio.,"Ignorant, lower-class people who try to impose their views on others deserve contempt.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10053.wav,S200,Se realiza todo tipo de fiestas,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10054.wav,H173,En el pueblo de San Pedro fabrican hermosas sillas cepillando los troncos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10055.wav,H119,El monito imita todo lo que hacen los niños,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10056.wav,H117,La herida de mi mano ya está cicatrizando,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10057.wav,H088,"Vendrán con cuidado y sin jugar por la orilla de la acequia, no vaya a ser que se caigan",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10058.wav,B170,"Voy a tumbar árboles, préstame sogas.",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10059.wav,B047,Está sentado encima de la mesa,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10060.wav,H110,La ropa gruesa protege nuestro cuerpo del frío,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10061.wav,A071,Iré a la quebrada ya para el período del sembrío.,I will go to the ravine now for the sowing period.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10062.wav,A169,Mientras dure el juicio tú estarás preso,While the trial lasts you will be imprisoned,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10063.wav,A145,Quizás la mayor fuente de disgusto en los humanos es la vista y el olor a carroña.,Perhaps the greatest source of disgust in humans is the sight and smell of carrion.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10064.wav,A218,"Siguiendo el camino del bosque, encontraron la carcasa de un ciervo que había muerto cuando se quedó atrapado en una trampa.","Following the forest path, they found the carcass of a deer that had died when it got caught in a trap.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10065.wav,H138,Nuestro vecino tiene una hijita,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10066.wav,A028,Geometría,Geometry,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10067.wav,B107,Frente a las fatalidades de la vida consultemos a nuestros ancianos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10068.wav,S173,Trabajo el lunes,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10069.wav,A114,Esa persona sola se ha tomado toda la botella de cerveza,That person alone has drunk the entire bottle of beer,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10070.wav,A148,El papagayo imita a hablar casi como otras personas.,The parrot imitates speaking almost like other people.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10071.wav,H008,Familia,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10072.wav,B066,Nosotros estamos en el salón,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10073.wav,A230,Chris no es un aliado leal.,Chris is not a loyal ally.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10074.wav,B008,Flaco,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10075.wav,A083,No puede pasar sin autorización,Cannot pass without authorization,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10076.wav,B171,Al perro se le ahorca con una soguilla,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10077.wav,H007,Tumbo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10078.wav,A080,No he visto a tu animal,I haven't seen your animal,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10079.wav,S194,"Todos los días él visitó a su madre enferma, la alimentó, y se quedó a su lado durante toda la noche.",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10080.wav,S224,Todo puede ser poesía y cualquiera puede ser un poeta.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10081.wav,A068,Se fué llorando,He left crying,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10082.wav,S080,"Por favor, me traes pan",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10083.wav,H094,La escritura sirve para escribir ideas,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10084.wav,S189,Jóvenes y señoritas vengan,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10085.wav,H220,El primer enamoramiento de una persona es muy intenso y esos sentimientos se recuerdan durante mucho tiempo.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10086.wav,A192,"El olor, el color y la textura del vómito que se encuentran en el suelo es asqueroso.","The smell, color and texture of the vomit found on the floor is disgusting.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10087.wav,B137,El árbol de la paca tiene agua en sus cañas,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10088.wav,B222,Los indigentes duermen debajo de los puentes todas las noches.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10089.wav,A075,Alberto encontró un zorro muerto,Alberto found a dead fox,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10090.wav,S111,Damos de comer a la Pachamama en el mes de abril,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10091.wav,B028,Embarazada,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10092.wav,S103,La oficina abre a las 8 de la mañana,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10093.wav,H023,Dibujo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10094.wav,B119,Antes solamente la ropa vieja tenía agujeros,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10095.wav,H166,En el mar hay muchas variedades de peces.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10096.wav,A117,Insultarse no es bueno,Being insulted is not good,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10097.wav,H135,Mi mamá mañana terminará de tejer el poncho,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10098.wav,A077,"Maria, ve a comer ese mote","Maria, go eat that nickname",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10099.wav,H115,La paloma torcaz canta melodiosamente desde los árboles,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10100.wav,B011,Mudo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10101.wav,A178,"En los pueblos, si compramos verduras,nos agregan con hierbas aromáticas.","In the villages, if we buy vegetables, they add aromatic herbs.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10102.wav,A068,Se fué llorando,He left crying,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10103.wav,A156,Si no respiramos aire podemos morir en menos de un minuto.,If we don't breathe air we can die in less than a minute.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10104.wav,B089,Del cuero de vaca se hace tambor,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10105.wav,B127,El cuerpo geométrico de seis caras se llama cubo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10106.wav,A042,Martes,Tuesday,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10107.wav,H136,Las jovencitas van al pueblo exhibiendo sus mejores prendedores,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10108.wav,A186,El águila vuela muy alto,The eagle flies very high,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10109.wav,B212,Ella había estado enferma por una semana y se sentía peor con cada día que pasaba.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10110.wav,A062,La espina penetró en mi mano,The thorn penetrated my hand,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10111.wav,A217,No permitir que el amor florezca es un pecado.,Not allowing love to flourish is a sin.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10112.wav,H069,En el pueblo de Pisaq hay una gran feria dominical.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10113.wav,H131,Mi nuera teje mantas con bonitos diseños,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10114.wav,S015,Dulce,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10115.wav,B084,Se fueron hacia el pueblo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10116.wav,S176,Trabajaré con la yunta,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10117.wav,H030,Magnífico,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10118.wav,H041,Amarillo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10119.wav,B042,Derramar,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10120.wav,A151,En la escuela yo toco el tambor,At school I play the drum,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10121.wav,B229,Las enfermeras atienden a los abuelitos muy enfermos que aveces se mueren.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10122.wav,S066,Nosotros solemos caminar,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10123.wav,H041,Amarillo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10124.wav,A137,Esa lana blanca voy a teñirla a rojo.,I'm going to dye that white wool red.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10125.wav,S034,Cortar,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10126.wav,H046,Tus ojos son bonitos,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10127.wav,B112,Nuestras alpacas se habían mezclado con las llamas de los Mamani.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10128.wav,H165,El danzante siempre está presente en las Įestas,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10129.wav,S220,La hierba siempre es más verde en el otro lado.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10130.wav,B078,Por favor asiste a esa reunión en representación nuestra.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10131.wav,A151,En la escuela yo toco el tambor,At school I play the drum,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10132.wav,B030,Parar,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10133.wav,A204,"Hay crímenes graves en este mundo, pero ninguno más grave que matar el amor.","There are serious crimes in this world, but none more serious than killing love.",quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10134.wav,A007,Torturador,Torturer,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10135.wav,B214,El nivel de alfabetización en Polonia no ha cambiado en los últimos años.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10136.wav,B088,Esa canasta no tiene asa,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10137.wav,S173,Trabajo el lunes,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10138.wav,H191,Al hondear pajaritos habían quebrado el vidrio de la ventana,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10139.wav,A021,Hoja,Sheet,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10140.wav,A057,Lávate la cabeza,wash your head,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10141.wav,H149,Los niños y las niñas recitan hermosas poesías en ocasiones de Įestas.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10142.wav,S100,Hay chirimoya en el árbol,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10143.wav,H040,Laminado,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10144.wav,B228,Los médicos ya estan cansados de atender a tantos enfermos por la pandemia.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10145.wav,S148,¿Cuándo vas a estudiar?,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10146.wav,S151,¿Hasta cuanto sabes contar?,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10147.wav,H161,Las mujeres llevan su coca atado en una mantita,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10148.wav,B021,Remesa/encargo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10149.wav,A155,Cuando cabalgo se me adormecen las piernas.,When I ride my legs go numb.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10150.wav,B200,"Macbeth, matando a Duncan, abusó de su confianza un poco.",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10151.wav,S035,Sacar cascara gruesa,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10152.wav,A028,Geometría,Geometry,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10153.wav,B209,"No sé cómo hablar con las mujeres, así que nunca comenzaré a una familia.",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10154.wav,A182,Vé al pueblo jalando la llama.,See the people pulling the flame.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10155.wav,S227,Nunca confíes en una persona que siempre está sonriendo.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10156.wav,H027,Agua,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10157.wav,B118,Ni siquiera sabemos lo fácil que es capturar una infección en una multitud.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
