language,dataset_name,sample_id,split_source,emotion_label_raw,canonical_label,raw_utterance_text,normalized_utterance_text,english_gloss,lexical_domain_tag,lexical_comparability,notes
Italian,EMOZIONALMENTE,EMOZIONALMENTE_estimated_surprise_policy,estimated,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
Italian,EMOZIONALMENTE,EMOZIONALMENTE_scanned_anger,scanned,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Italian,EMOZIONALMENTE,EMOZIONALMENTE_scanned_fear,scanned,fear,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Italian,EMOZIONALMENTE,EMOZIONALMENTE_scanned_neutral,scanned,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Italian,EMOZIONALMENTE,EMOZIONALMENTE_scanned_calm,scanned,calm,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Italian,EMOZIONALMENTE,EMOZIONALMENTE_scanned_surprise_policy,scanned,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
German,EMO-DB,EMO-DB_estimated_anger,estimated,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_estimated_fear,estimated,fear,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_estimated_neutral,estimated,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_estimated_surprise_policy,estimated,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
German,EMO-DB,EMO-DB_scanned_anger,scanned,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_scanned_fear,scanned,fear,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_scanned_neutral,scanned,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
German,EMO-DB,EMO-DB_scanned_surprise_policy,scanned,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
French,CaFE,CaFE_estimated_anger,estimated,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_estimated_fear,estimated,fear,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_estimated_neutral,estimated,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_estimated_surprise_policy,estimated,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
French,CaFE,CaFE_scanned_anger,scanned,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_scanned_fear,scanned,fear,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_scanned_neutral,scanned,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
French,CaFE,CaFE_scanned_surprise_policy,scanned,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_estimated_anger,estimated,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_estimated_neutral,estimated,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_estimated_surprise_policy,estimated,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_scanned_anger,scanned,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_scanned_neutral,scanned,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Chinese (Mandarin),ESD(ZH),ESD(ZH)_scanned_surprise_policy,scanned,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
Portuguese (Brazil),EmoUERJ,EmoUERJ_estimated_anger,estimated,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Portuguese (Brazil),EmoUERJ,EmoUERJ_estimated_neutral,estimated,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Portuguese (Brazil),EmoUERJ,EmoUERJ_estimated_surprise_policy,estimated,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
Portuguese (Brazil),EmoUERJ,EmoUERJ_scanned_anger,scanned,anger,emergency,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Portuguese (Brazil),EmoUERJ,EmoUERJ_scanned_neutral,scanned,neutral,normal,NA,NA,NA,other,none,No utterance transcript/text staged in current phase2 assets; emotion mapping available but lexical alignment unavailable.
Portuguese (Brazil),EmoUERJ,EmoUERJ_scanned_surprise_policy,scanned,surprise,excluded,NA,NA,NA,other,none,Sensitivity-only label per contract; excluded from mainline emergency-vs-normal analysis.
